FB,FACT,OPT,PD
360.431,117.258,73.9763,138.642
358.085,131.128,77.4979,165.352
333.373,124.033,80.5838,152.684
353.858,122.891,74.9265,155.298
314.422,117.69,74.6511,162.066
337.159,129.724,82.6895,213.908
460.072,143.148,99.4483,213.302
393.308,138.708,85.3325,200.687
325.464,142.574,78.9213,188.916
368.606,126.731,81.2841,165.863
