FB,FACT,OPT,PD
360.198,0.0287,379.456,0.0612
355.818,0.0453,482.697,0.0569
407.07,0.0396,392.107,0.0494
351.332,0.0286,403.949,0.0471
379.484,0.038,467.264,0.0359
358.655,0.0271,403.625,0.044
350.2,0.0296,397.699,0.0373
429.794,0.027,405.847,0.0431
374.297,0.0278,397.882,0.0472
366.555,0.0379,393.375,0.0483
