FB,FACT,OPT,PD
393.899,4.9839,204.734,10.3705
354.224,5.9563,207.174,12.3939
424.166,5.0229,210.621,10.0027
382.421,8.2229,249.876,18.2824
358.29,5.5687,203.937,9.7918
344.506,5.1329,212.64,10.4391
362.355,6.0443,287.79,13.1873
401.715,6.365,211.966,12.464
358.551,5.0208,201.236,11.6599
342.19,6.0967,232.776,13.2478
