FB,FACT,OPT,PD
1.6997,0.5786,0.8618,0.5611
1.5752,0.5371,10.2723,0.5864
1.6131,0.5348,1.0948,0.5266
1.559,0.7296,1.026,0.5644
1.7051,0.6105,0.9091,0.6223
2.5896,0.5904,1.0606,0.5188
1.4541,0.7771,1.2078,0.5747
1.5553,0.6797,1.1253,0.6488
1.9529,0.6522,1.0236,0.5471
2.6873,0.9943,0.8758,0.5176
