FB,FACT,OPT,PD
376.937,3.2265,458.444,4.8764
371.153,3.4577,441.612,3.9023
361.195,2.6394,424.165,3.6978
440.008,3.8481,393.721,5.1572
377.482,4.7924,394.885,4.7348
385.22,3.5088,388.981,5.02
447.562,3.0108,407.139,4.6683
366.485,3.3316,428.62,5.3724
365.639,3.9084,459.027,5.1447
395.986,4.0001,376.791,5.314
