4M,2M
0.8229,0.5232
0.8257,0.5188
0.6649,0.8797
4.912,0.505
0.7347,0.5238
0.7046,0.5809
0.7466,0.5432
0.793,0.5917
0.7696,0.5611
0.7519,0.5749
