FB,FACT,OPT,PD
346.362,141.655,60.1581,194.274
366.949,129.544,60.2032,259.041
345.362,136.939,59.1044,177.234
354.48,130.205,58.4284,173.639
337.599,164.131,61.8032,213.441
359.252,172.238,91.5051,191.652
366.263,128.378,68.7707,170.42
359.802,200.431,89.2674,201.951
505.797,133.279,60.8687,170.338
392.144,162.828,66.0575,180.875
