FB,FACT,OPT,PD
451.69,345.392,1.685,51.1867
563.25,343.041,1.3597,30.9583
520.432,415.32,2.2607,41.7258
538.645,340.036,2.4286,30.1867
480.203,337.058,2.3976,34.641
582.266,354.957,3.8172,43.807
475.911,343.105,1.2936,30.6022
436.635,332.073,1.4901,28.3546
475.858,400.557,6.6743,33.2274
431.841,323.382,1.5484,28.0841
