FB,FACT,OPT,PD
1.6157,1.1583,0.2949,0.6664
1.3386,1.3672,4.7047,0.7093
1.7702,1.2424,0.2591,0.8352
1.6371,1.4604,0.3046,0.7781
1.8204,4.2067,0.2725,0.8051
5.5341,1.3523,0.2663,0.8779
1.6424,1.4039,0.3031,0.801
5.6237,1.5116,0.4323,1.7914
1.6247,1.1926,0.2674,0.8212
1.8866,1.3257,0.3085,0.7421
