i,FB,FACT,OPT,PD
1,0.0791,0.0183,0.0343,0.0562
2,0.1238,0.1663,0.0723,0.1859
3,0.8552,0.2802,0.7403,0.1387
4,3.9904,0.8813,10.4456,0.7828
5,20.21,2.8342,12.5801,3.1359
6,107.746,7.5608,48.0957,13.9985
7,547.292,34.2721,214.882,48.4117
8,2718.62,57.7562,1103.3,47.8783
9,13221.2,149.638,5061.09,103.726
10,66291,396.158,25128.2,211.942
