FB,FACT,OPT,PD
18.9542,0.3449,14.0315,0.5122
18.0481,0.3642,16.8987,0.5619
16.4505,0.3896,15.354,0.5547
14.4325,0.3646,15.3187,0.5618
15.3276,0.4572,18.421,0.6484
16.5297,0.3819,15.575,0.5434
14.6521,0.389,15.7301,0.5594
16.2164,0.3447,15.4411,0.4924
16.1665,0.3932,17.0181,0.5112
14.063,0.4682,14.1432,0.9567
