FB,FACT,OPT,PD
1.9945,1.6567,0.2522,1.3247
1.6788,2.3261,0.534,1.5081
1.6314,0.983,0.1494,1.0019
1.3619,1.1098,0.1493,1.3331
1.5848,1.9277,0.2024,1.4662
2.0447,3.6471,0.2097,1.0868
1.696,1.4406,0.2269,1.137
4.4217,1.096,0.1498,1.1274
4.2076,1.3553,0.2428,1.1933
1.3704,0.9865,0.1485,1.1928
