FB,FACT,OPT,PD
14.9672,7.4504,0.5131,8.2381
25.3666,8.3057,0.7473,14.2883
19.4243,17.075,0.4312,16.0079
18.478,8.8295,0.563,12.6306
16.0376,7.4259,0.4352,10.7856
19.1456,10.4227,0.5568,8.8729
23.7549,8.781,0.5714,10.3224
24.3346,9.8874,0.5845,11.6136
16.8801,10.7627,0.5331,10.9832
16.6573,12.4104,0.4844,14.3145
