n,ellos,dp
1,2.100015990436077e-06,5.499925464391708e-06
6,5.500041879713535e-06,9.599956683814526e-06
11,3.499991726130247e-05,1.4199991710484028e-05
16,0.00022300006821751595,8.699949830770493e-06
21,0.0017328999238088727,1.0100076906383038e-05
26,0.024819599930197,2.95999925583601e-05
31,0.26555719994939864,1.8400023691356182e-05
36,3.206760400091298,2.050003968179226e-05
41,27.269258999964222,2.2500054910779e-05
46,287.7231468000682,3.3100019209086895e-05
